date,organization,count,rn
2020-03-19,Facebook,2,3
2020-03-19,Reuters,2,4
2020-03-19,Skywest,2,5
2020-03-19,Skywest Airlines,2,6
2020-03-19,Skywest Airlines To Dallas,2,7
2020-03-19,American Airlines,4,1
2020-03-19,National Guard,4,2
2020-03-20,Department Of Corrections,1,9
2020-03-20,Department Of Education,1,10
2020-03-20,Department Of Transportation,1,11
2020-03-20,Medicine Bow National Forest,1,12
2020-03-20,News Exchange,1,13
2020-03-20,Office Of Homeland Security,1,14
2020-03-20,Salt Lake Church,1,15
2020-03-20,Sundance Police Department,1,16
2020-03-20,Utah Health Department,1,17
2020-03-20,Health Officer,2,6
2020-03-20,National Guard,2,7
2020-03-20,Skywest Airlines,2,8
2020-03-20,Health Department,4,2
2020-03-20,Jackson Service Unit Of The Girl Scouts,4,3
2020-03-20,Public Health Laboratory,4,4
2020-03-20,Supreme Court,4,5
2020-03-20,Department Of Health,5,1
2020-03-21,Department Of Corrections,1,7
2020-03-21,Department Of Transportation,1,8
2020-03-21,Medicine Bow National Forest,1,9
2020-03-21,National Guard,1,10
2020-03-21,Skywest Airlines,1,11
2020-03-21,News Exchange Newspapers,2,6
2020-03-21,Department Of Health,4,1
2020-03-21,Health Department,4,2
2020-03-21,Jackson Service Unit Of The Girl Scouts,4,3
2020-03-21,Public Health Laboratory,4,4
2020-03-21,Supreme Court,4,5
2020-04-03,Aviation Administration,1,1
2020-04-03,Skywest Airlines,1,2
2020-06-05,Flickr,1,1
2020-06-05,Mooney,1,2
2020-06-05,Young,1,3
