date,organization,count,rn
2020-02-01,Amita Health St,6,47
2020-02-01,Delta Airlines,6,48
2020-02-01,Division Of Global Migration,6,49
2020-02-01,Human Services Alex Azar On,6,50
2020-02-01,Depaul University,7,40
2020-02-01,European Commission,7,41
2020-02-01,National Health Commission,7,42
2020-02-01,Starbucks,7,43
2020-02-01,University Of California At Berkeley,7,44
2020-02-01,Us State Department,7,45
2020-02-01,While The World Health Organization,7,46
2020-02-01,Georgetown University,8,36
2020-02-01,Instagram,8,37
2020-02-01,World Health Organization On,8,38
2020-02-01,Youtube,8,39
2020-02-01,Alexius Medical Center,9,32
2020-02-01,British Airways,9,33
2020-02-01,Cnn,9,34
2020-02-01,Google,9,35
2020-02-01,Department Of Health,10,29
2020-02-01,European Union,10,30
2020-02-01,Massachusetts Department Of Public Health,10,31
2020-02-01,Department Of Homeland Security,11,23
2020-02-01,Department Of Homeland Security Ken Cuccinelli,11,24
2020-02-01,Department Of Transportation,11,25
2020-02-01,Im The Department,11,26
2020-02-01,Novel Coronavirus Task,11,27
2020-02-01,Office Of Field Operations,11,28
2020-02-01,Associated Press,12,17
2020-02-01,Mckinley Health Center,12,18
2020-02-01,Northwestern University,12,19
2020-02-01,United Airlines,12,20
2020-02-01,University Of Chicago,12,21
2020-02-01,University Of Illinois,12,22
2020-02-01,Tribune Content Agency,13,16
2020-02-01,Facebook,14,13
2020-02-01,Reuters,14,14
2020-02-01,Us Centers For Disease,14,15
2020-02-01,Delta Air Lines,15,11
2020-02-01,White House,15,12
2020-02-01,Illinois Department Of Public Health,16,9
2020-02-01,Public Health Emergency Of International Concern,16,10
2020-02-01,National Institute Of Allergy,19,7
2020-02-01,Twitter,19,8
2020-02-01,American Airlines,24,6
2020-02-01,National Center,25,5
2020-02-01,Human Services,29,4
2020-02-01,Centers For Disease,89,2
2020-02-01,World Health Organization,89,3
2020-02-01,United States,110,1
2020-02-02,Air India,3,48
2020-02-02,Commonwealth Edison,3,49
2020-02-02,Defense Department,3,50
2020-02-02,American Airlines Inc,4,41
2020-02-02,Council Of Economic Advisers,4,42
2020-02-02,Laboratory Sciences,4,43
2020-02-02,Ohio Department Of Health,4,44
2020-02-02,People Bank,4,45
2020-02-02,White House National Economic Council,4,46
2020-02-02,Youtube,4,47
2020-02-02,Airlines In Asia,5,32
2020-02-02,Department Of Defense,5,33
2020-02-02,Department Of Homeland Security,5,34
2020-02-02,Google,5,35
2020-02-02,Health Department,5,36
2020-02-02,National Security Adviser Robert Obrien,5,37
2020-02-02,Travis Air Force,5,38
2020-02-02,University Of Southampton,5,39
2020-02-02,Washington Post,5,40
2020-02-02,Bloomberg,6,27
2020-02-02,British Airways,6,28
2020-02-02,Cathay Pacific,6,29
2020-02-02,Facebook,6,30
2020-02-02,Germany Health,6,31
2020-02-02,European Commission,7,18
2020-02-02,European Union,7,19
2020-02-02,Lackland Air Force,7,20
2020-02-02,National Center,7,21
2020-02-02,National Institutes Of Health,7,22
2020-02-02,United Airlines,7,23
2020-02-02,University Of Illinois,7,24
2020-02-02,University Of Southern California,7,25
2020-02-02,York University,7,26
2020-02-02,American Airlines,8,13
2020-02-02,Associated Press,8,14
2020-02-02,Department Of Health,8,15
2020-02-02,Reuters,8,16
2020-02-02,Us Centers For Disease,8,17
2020-02-02,Los Angeles International Airport,9,10
2020-02-02,Twitter,9,11
2020-02-02,University Of Massachusetts,9,12
2020-02-02,Massachusetts Department Of Public Health,10,9
2020-02-02,Cnn,11,8
2020-02-02,Delta Air Lines,12,6
2020-02-02,Transportation Security Administration,12,7
2020-02-02,White House,17,5
2020-02-02,Human Services,26,4
2020-02-02,World Health Organization,37,3
2020-02-02,Centers For Disease,48,2
2020-02-02,United States,62,1
2020-02-03,American Psychological Association,3,39
2020-02-03,Arizona State University In Tempe,3,40
2020-02-03,Army Fort Carson,3,41
2020-02-03,Cornell College In Mt,3,42
2020-02-03,Council Of Economic Advisers,3,43
2020-02-03,Defense Department,3,44
2020-02-03,Delta Air Lines,3,45
2020-02-03,Drake University,3,46
2020-02-03,Elmhurst College,3,47
2020-02-03,Fairfield Travis Air Force,3,48
2020-02-03,Germany Health,3,49
2020-02-03,Illinois State Police On,3,50
2020-02-03,Dulles International Airport,4,32
2020-02-03,Emirates,4,33
2020-02-03,Human Services Alex Azar On,4,34
2020-02-03,National Health Commission,4,35
2020-02-03,Secretary Of Health,4,36
2020-02-03,Tribune Content Agency,4,37
2020-02-03,Xinhua,4,38
2020-02-03,Foreign Ministry Spokeswoman Hua Chunying,5,26
2020-02-03,Lackland Air Force,5,27
2020-02-03,Los Angeles International Airport,5,28
2020-02-03,National Institute Of Allergy,5,29
2020-02-03,National Institutes Of Health,5,30
2020-02-03,Tom Bradley International Terminal,5,31
2020-02-03,Associated Press,6,24
2020-02-03,Thomson Reuters Trust Principles,6,25
2020-02-03,British Airways,7,21
2020-02-03,Nan,7,22
2020-02-03,United Airlines,7,23
2020-02-03,Department Of Homeland Security,8,19
2020-02-03,White House,8,20
2020-02-03,Bloomberg,9,18
2020-02-03,San Francisco International Airport On,10,17
2020-02-03,New York Times,11,15
2020-02-03,Twitter,11,16
2020-02-03,American Airlines,12,12
2020-02-03,Cnn,12,13
2020-02-03,Drug Administration,12,14
2020-02-03,Foreign Ministry,13,11
2020-02-03,China Foreign Ministry,14,10
2020-02-03,Arizona State University,17,9
2020-02-03,University Of Massachusetts,19,8
2020-02-03,Reuters,20,7
2020-02-03,Illinois Department Of Public Health,27,6
2020-02-03,Human Services,31,5
2020-02-03,National Center,35,4
2020-02-03,Centers For Disease,43,3
2020-02-03,World Health Organization,53,2
2020-02-03,United States,71,1
2020-02-04,Birthday Party,5,30
2020-02-04,Carlyle Group,5,31
2020-02-04,Chef Council,5,32
2020-02-04,Commerce Commission,5,33
2020-02-04,Democratic Party,5,34
2020-02-04,Department Of Corrections,5,35
2020-02-04,Family Services,5,36
2020-02-04,Field Museum,5,37
2020-02-04,Gift Of Hope Organ Tissue Donor Network,5,38
2020-02-04,Housing Advisory Commission,5,39
2020-02-04,Illinois Council,5,40
2020-02-04,Illinois Department Of Healthcare,5,41
2020-02-04,Illinois Environmental Protection Agency,5,42
2020-02-04,Illinois Kidney Care Alliance,5,43
2020-02-04,Illinois Office Of Comptroller,5,44
2020-02-04,Mccormick Foundation,5,45
2020-02-04,New York Times,5,46
2020-02-04,Office Of Police Accountability,5,47
2020-02-04,Sangamo Club,5,48
2020-02-04,Starbucks,5,49
2020-02-04,Supreme Court,5,50
2020-02-04,Associated Press,6,28
2020-02-04,China Charity Federation,6,29
2020-02-04,Cnn,7,27
2020-02-04,China Foreign Ministry,8,21
2020-02-04,Drug Administration,8,22
2020-02-04,Office Of Global Affairs,8,23
2020-02-04,Ohare International Airport,8,24
2020-02-04,Ohare International Airport On,8,25
2020-02-04,Us Department Of Health,8,26
2020-02-04,Bloomberg,9,19
2020-02-04,Us Centers For Disease,9,20
2020-02-04,Arizona State University,10,16
2020-02-04,University Of Massachusetts,10,17
2020-02-04,Us State Department,10,18
2020-02-04,Department Of Health,11,11
2020-02-04,Foreign Ministry,11,12
2020-02-04,Mcdonald,11,13
2020-02-04,National Health Commission,11,14
2020-02-04,Twitter,11,15
2020-02-04,Illinois Department Of Health,12,10
2020-02-04,Emirates,13,9
2020-02-04,Reuters,20,8
2020-02-04,Illinois Department Of Public Health,25,7
2020-02-04,White House,28,6
2020-02-04,Human Services,35,5
2020-02-04,Centers For Disease,38,4
2020-02-04,World Health Organization,46,3
2020-02-04,National Center,50,2
2020-02-04,United States,62,1
2020-02-05,Abbott Laboratories,2,26
2020-02-05,American Psychological Association,2,27
2020-02-05,Arizona Department Of Health Services,2,28
2020-02-05,California Department Of Health,2,29
2020-02-05,China Charity Federation,2,30
2020-02-05,Cruise Lines International Association,2,31
2020-02-05,Global Business Travel Association,2,32
2020-02-05,Health Affairs,2,33
2020-02-05,Health Centers,2,34
2020-02-05,Illinois Association For Behavioral Health,2,35
2020-02-05,Illinois Primary Health Care Association,2,36
2020-02-05,Instagram,2,37
2020-02-05,International Air Transport Association,2,38
2020-02-05,John F Kennedy International Airport,2,39
2020-02-05,Los Angeles International Airport,2,40
2020-02-05,Massachusetts Department Of Public Health,2,41
2020-02-05,Ministry Of Health,2,42
2020-02-05,Mondelez International,2,43
2020-02-05,Morey Corp,2,44
2020-02-05,Nan,2,45
2020-02-05,National Headache Foundation,2,46
2020-02-05,Northwestern University Feinberg School Of Medicine,2,47
2020-02-05,Northwestern University Kellogg School Of Management,2,48
2020-02-05,Providence Regional Medical Center Everett,2,49
2020-02-05,Public Health Emergency Of International Concern,2,50
2020-02-05,Associated Press,3,10
2020-02-05,Central University For Nationalities,3,11
2020-02-05,China National Health Commission,3,12
2020-02-05,Cnn,3,13
2020-02-05,Department Of Health,3,14
2020-02-05,Facebook,3,15
2020-02-05,Human Services,3,16
2020-02-05,Illinois Department Of Public Health,3,17
2020-02-05,Illinois Health,3,18
2020-02-05,Mcdonald,3,19
2020-02-05,National Center,3,20
2020-02-05,Princess Cruises,3,21
2020-02-05,Starbucks,3,22
2020-02-05,Tribune Content Agency,3,23
2020-02-05,United Airlines,3,24
2020-02-05,Wisconsin International Academy,3,25
2020-02-05,University Of Wisconsin Hospital In Madison,4,9
2020-02-05,Arizona State University,5,7
2020-02-05,University Of Massachusetts,5,8
2020-02-05,Department Of Health Services,7,6
2020-02-05,Uw Health,8,5
2020-02-05,Walmart,9,4
2020-02-05,Centers For Disease,17,3
2020-02-05,World Health Organization,23,2
2020-02-05,United States,24,1
2020-02-06,Belgium Health Council,1,49
2020-02-06,Bloomberg,1,50
2020-02-06,Arizona State University,2,18
2020-02-06,Assembly Health Committee,2,19
2020-02-06,Assembly Republicans,2,20
2020-02-06,Associated Press,2,21
2020-02-06,Buckley,2,22
2020-02-06,China National Health Commission,2,23
2020-02-06,Consumer Product Safety Commission,2,24
2020-02-06,Delivery Services,2,25
2020-02-06,Education Foundation,2,26
2020-02-06,Financial Holdings Inc,2,27
2020-02-06,Godaddy Inc,2,28
2020-02-06,Great Lakes Dredge Dock Corp,2,29
2020-02-06,Illinois Department Of Revenue,2,30
2020-02-06,Illinois Health,2,31
2020-02-06,Illinois Tax Amnesty Program,2,32
2020-02-06,Institute Of Supply Management,2,33
2020-02-06,Investment Bank,2,34
2020-02-06,Johns Hopkins Office Of Critical Event Preparedness,2,35
2020-02-06,Microsoft,2,36
2020-02-06,P-B-L Education Foundation,2,37
2020-02-06,Paxton Buckley Loda Endowment Fund,2,38
2020-02-06,People Bank,2,39
2020-02-06,Pew Research Center,2,40
2020-02-06,Rantoul Area Chamber,2,41
2020-02-06,Thomson Reuters Trust Principles,2,42
2020-02-06,University Of Massachusetts,2,43
2020-02-06,University Of Wisconsin,2,44
2020-02-06,University Of Wisconsin Hospital In Madison,2,45
2020-02-06,Wisconsin International Academy,2,46
2020-02-06,Zacks Equity Research,2,47
2020-02-06,Zacks Investment Research,2,48
2020-02-06,New York Times,3,16
2020-02-06,Uw Health,3,17
2020-02-06,Certified Medical Assistant At Mck Health Services,4,11
2020-02-06,Health Services,4,12
2020-02-06,Mckendree University,4,13
2020-02-06,Office Of Health Services,4,14
2020-02-06,World Health Emergency,4,15
2020-02-06,Agriculture Transportation Coalition,5,6
2020-02-06,Facebook,5,7
2020-02-06,Tyson Foods Inc,5,8
2020-02-06,United States Poultry Egg Export Council,5,9
2020-02-06,Us State Department,5,10
2020-02-06,Reuters,6,4
2020-02-06,World Health Organization,6,5
2020-02-06,Walmart,8,3
2020-02-06,Centers For Disease,11,2
2020-02-06,United States,23,1
