date,organization,count,rn
2020-03-13,Nan,1,1
2020-03-24,Nan,1,1
2020-04-09,Emergency Operation Centers Eocs,1,1
2020-04-09,Kentucky Parks Department,1,2
2020-04-09,Workforce Development Cabinet,1,3
2020-04-10,Baptist Health Madisonville,1,2
2020-04-10,Department For Public Health,1,3
2020-04-10,Department Of Health,1,4
2020-04-10,Education Workforce Development Cabinet,1,5
2020-04-10,Epidemiology Resource Center,1,6
2020-04-10,Family Services,1,7
2020-04-10,Green River District Health Department,1,8
2020-04-10,Kentucky Veterans Center,1,9
2020-04-10,Louisville Fire Department,1,10
2020-04-10,See The Cabinet For Health,1,11
2020-04-10,Workforce Development Cabinet,1,12
2020-04-10,World Health Organization,1,13
2020-04-10,National Guard,4,1
2020-04-17,Catholic Health,1,1
2020-04-17,Parker Jewish Institute For Health Care,1,2
2020-04-17,Schwartz,1,3
2020-04-17,Siena Nursing Rehabilitation Care Center,1,4
2020-05-12,Bureau Of Prisons,1,1
2020-05-12,Residential Drug Abuse Program,1,2
