date,organization,count,rn
2020-02-05,Mon County Health Department,1,1
2020-02-05,Monongalia County Health Department,1,2
2020-02-05,Virginia University,1,3
2020-02-14,College Republicans,1,1
2020-02-14,Democrat Party,1,2
2020-02-14,Facebook,1,3
2020-02-14,Huawei,1,4
2020-02-14,Huawei Technologies Co,1,5
2020-02-14,Justice Department,1,6
2020-02-14,Media Research Center,1,7
2020-02-14,National Development,1,8
2020-02-14,National Security,1,9
2020-02-14,National Security Division,1,10
2020-02-14,Office Of Management,1,11
2020-02-14,Reform Commission,1,12
2020-02-14,Reuters,1,13
2020-02-14,Senate Judiciary Committee,1,14
2020-02-14,Senate Majority Leader Mitch Mcconnell,1,15
2020-02-14,United Church,1,16
2020-02-14,United States,1,17
2020-02-14,University Of California,1,18
2020-02-14,Way Church,1,19
2020-02-14,White House,1,20
2020-03-03,Cnn,1,13
2020-03-03,Consumer Financial Protection Bureau,1,14
2020-03-03,Microsoft,1,15
2020-03-03,Yahoo,1,16
2020-03-03,French Church,2,10
2020-03-03,Russian Federation,2,11
2020-03-03,Un Security Council,2,12
2020-03-03,Billy Graham Evangelistic Association,3,1
2020-03-03,Department Of Homeland Security,3,2
2020-03-03,Facebook,3,3
2020-03-03,Georgia Department Of Public Health,3,4
2020-03-03,Marshall Middle School In Fauquier,3,5
2020-03-03,Msnbc,3,6
2020-03-03,Religion Forum,3,7
2020-03-03,Supreme Court,3,8
2020-03-03,United States,3,9
2020-03-04,Carruth Center,1,1
2020-03-04,Centers For Disease,1,2
2020-03-04,Cigna,1,3
2020-03-04,Fauquier Health,1,4
2020-03-04,Our University,1,5
2020-03-04,United States,1,6
2020-03-04,Virginia Department Of Health,1,7
2020-03-04,Virginia University,1,8
2020-03-08,Associated Press,1,2
2020-03-08,Centers For Disease,1,3
2020-03-08,Political Action Conference At National Harbor,1,4
2020-03-08,Twitter,1,5
2020-03-08,University Of Virginia,1,6
2020-03-08,White House,1,7
2020-03-08,Virginia Department Of Health,2,1
2020-03-09,Christ Church Georgetown,1,1
2020-03-09,School Without Walls High School,1,2
2020-03-09,Schwartz,1,3
2020-03-09,Senate Majority Leader Mitch Mcconnell R-Ky,1,4
2020-03-09,Walter Reed National Military Medical Center,1,5
2020-03-09,White House,1,6
2020-03-11,California University Of Pennsylvania,1,2
2020-03-11,Health Sciences,1,3
2020-03-11,Office Of The Provost,1,4
2020-03-11,Penn State University,1,5
2020-03-11,World Health Organization,1,6
2020-03-11,Virginia University,2,1
2020-03-12,California University Of Pennsylvania,1,1
2020-03-12,Penn State University,1,2
2020-03-12,University Of Pittsburgh,1,3
2020-03-12,University Relations,1,4
2020-03-12,Virginia University,1,5
2020-03-12,World Health Organization,1,6
2020-03-13,Administrator Office,1,6
2020-03-13,Community Development,1,7
