date,organization,count,rn
2020-03-17,Virginia Department Of Health,1,1
2020-03-30,Cale Elementary School,1,1
2020-03-30,Mountain View Elementary School,1,2
2020-03-30,Sutherland Middle School,1,3
2020-04-03,Academic Search Inc,1,1
2020-04-03,Cloud State University,1,2
2020-04-03,College Of St,1,3
2020-04-03,Higher Learning Commission,1,4
2020-04-03,John University,1,5
2020-04-03,Strategic Vision Committee,1,6
2020-04-03,United States,1,7
2020-04-15,Patrick Henry High School Principal Anthony Frazier,1,1
2020-04-15,Roanoke School Board Vice,1,2
2020-04-15,Virginia Department Of Education,1,3
2020-04-15,William Fleming High School,1,4
2020-04-17,Donors Capital Fund,1,1
2020-04-17,Facebook,1,2
2020-04-17,Idaho Freedom Foundation,1,3
2020-04-17,Malheur National,1,4
2020-04-17,Michigan Conservative Coalition,1,5
2020-04-17,Michigan Freedom Fund,1,6
2020-04-22,Youtube,1,1
2020-04-23,Senate Democrats,1,1
2020-04-23,Senate Minority Leader Tommy Norment,1,2
2020-04-23,Supreme Court,1,3
2020-04-23,Virginia Department Of Elections,1,4
2020-04-30,Clorox,1,1
2020-04-30,Nest Realty,1,2
2020-04-30,Roanoke Valley Association Of Realtors,1,3
2020-05-21,Actavis Elizabeth,1,1
2020-05-21,Bayer Healthcare Pharmaceuticals Inc,1,2
2020-05-21,Court Operations,1,3
2020-05-21,Drug Administration,1,4
2020-05-21,Eli Lilly Co,1,5
2020-05-21,Ferring Pharmaceuticals Inc,1,6
2020-05-21,Laboratories Private,1,7
2020-05-21,Mitsubishi Tanabe Pharma Corporation,1,8
2020-05-21,Novartis Corp,1,9
2020-05-21,Novartis Corporation,1,10
2020-05-21,Order Of The Court,1,11
2020-05-21,Portfolio Media Inc,1,12
2020-05-21,Reddy Laboratories Ltd,1,13
2020-05-21,Sandoz Inc,1,14
2020-05-21,Seek A Court,1,15
2020-05-21,Serenity Pharmaceuticals,1,16
2020-05-21,United States,1,17
2020-05-22,Appalachian Power Co,1,1
2020-05-22,Facebook,1,2
2020-05-22,Ferrum College,1,3
2020-05-22,Honeytree Early Learning Centers,1,4
2020-05-22,National Weather Service,1,5
2020-05-22,Twitter,1,6
2020-05-22,Virginia Department Of Elections,1,7
2020-05-22,Virginia Water Authority,1,8
