date,organization,count,rn
2020-03-11,United States,1,1
2020-03-12,Renewable Energy,1,1
2020-03-12,United States,1,2
2020-03-13,Bellingham City Council,1,1
2020-03-13,Bellingham Herald,1,2
2020-03-13,Centers For Disease,1,3
2020-03-13,City Council,1,4
2020-03-13,Facebook,1,5
2020-03-13,Health Department,1,6
2020-03-13,Indian College,1,7
2020-03-13,Johns Hopkins University,1,8
2020-03-13,Public Works Department,1,9
2020-03-13,Tribune Content Agency,1,10
2020-03-13,United States,1,11
2020-03-13,Washington State Department Of Health,1,12
2020-03-16,Nan,1,1
2020-03-18,United States,1,1
2020-04-02,Publishing Inc,1,1
2020-04-03,Bellingham Herald,1,1
2020-04-03,Student Health Center,1,2
2020-04-03,University Residences,1,3
2020-04-03,Washington University,1,4
2020-04-04,American Indian Health,1,1
2020-04-04,Brevig Mission,1,2
2020-04-04,Centers For Disease,1,3
2020-04-04,Congress On,1,4
2020-04-04,Indian Health Services,1,5
2020-04-04,Johns Hopkins Bloomberg School Of Public Health,1,6
2020-04-04,Johns Hopkins Center,1,7
2020-04-04,Johns Hopkins University,1,8
2020-04-04,Lummi Tribal Health Clinic,1,9
2020-04-04,National Congress,1,10
2020-04-04,National Institutes Of Health,1,11
2020-04-04,United States,1,12
2020-04-05,Family Health Centers,1,1
2020-04-05,Harbor Health Services,1,2
2020-04-05,Health Community Health Center,1,3
2020-04-05,National Association Of Community Health Centers,1,4
2020-04-05,New York Times,1,5
2020-04-05,River Hills Community Health Center,1,6
2020-04-05,River Hills Communtiy Health Center,1,7
2020-04-05,Sea Mar Community Health Centers,1,8
2020-04-05,York Times Company,1,9
2020-04-20,Boeing,1,1
2020-04-20,Employment Security Department,1,2
2020-04-20,University Of Washington Institute For Health Metrics,1,3
2020-04-20,Washington State Department Of Health,1,4
2020-04-20,Washington State Employment Security Department,1,5
2020-05-10,Nan,1,1
2020-05-17,Bellingham International,1,1
2020-05-17,Traffic At Bellingham International Airport,1,2
2020-05-18,Centers For Disease,1,1
2020-05-18,Cnn,1,2
2020-05-18,Foley Institute For Public,1,3
2020-05-18,John Hopkins School Of Public Health,1,4
2020-05-18,Msnbc,1,5
2020-05-18,National Institute Of Allergy,1,6
2020-05-18,New York Times,1,7
2020-05-18,Public Service At Washington State University,1,8
2020-05-18,Washington Post,1,9
2020-05-18,White House,1,10
2020-05-18,World Health Organization,1,11
2020-05-28,Bellingham Herald,1,1
2020-05-28,Centers For Disease,1,2
2020-05-28,Emergency Management Agency,1,3
2020-05-28,Facebook,1,4
2020-05-28,Joseph Medical Center,1,5
2020-05-28,Tribune Content Agency,1,6
2020-05-28,Washington State Department Of Health,1,7
2020-05-28,Whitman,1,8
2020-05-28,Youtube,1,9
2020-05-29,Angus Reid Institute,1,11
2020-05-29,Atmospheric Administration,1,12
2020-05-29,Bellingham Herald,1,13
2020-05-29,Canadian Border Services Agency,1,14
2020-05-29,Johns Hopkins University,1,15
2020-05-29,National Oceanic,1,16
2020-05-29,Washington State Department Of Health,1,17
2020-05-29,Washington University Border Policy Research Institute,1,18
2020-05-29,Adrift Hotel,2,1
2020-05-29,Adrift Hotel Spa At Long Beach,2,2
2020-05-29,Long Beach Peninsula Visitors Bureau,2,3
2020-05-29,National Congress,2,4
2020-05-29,National Rifle Association,2,5
2020-05-29,Olympic National Park,2,6
2020-05-29,Olympics,2,7
2020-05-29,Polson Museum,2,8
2020-05-29,United States,2,9
2020-05-29,Willapa National Wildlife Refuge,2,10
2020-05-30,American Academy Of Emergency Medicine,1,1
2020-05-30,American Civil Liberties Union,1,2
2020-05-30,Blackstone Group,1,3
2020-05-30,Facebook,1,4
2020-05-30,Joseph Medical Center,1,5
2020-05-30,Washington State Nurses Association,1,6
2020-05-30,Youtube,1,7
